client timestamp,button,state,x,y
12275,NoButton,Move,1299,679
12283,NoButton,Move,1299,679
12291,NoButton,Move,1299,679
12298,NoButton,Move,1299,679
12307,NoButton,Move,1299,679
12314,NoButton,Move,1299,679
12323,NoButton,Move,1301,679
12331,NoButton,Move,1301,679
12339,NoButton,Move,1301,679
12347,NoButton,Move,1301,679
12354,NoButton,Move,1301,679
12363,NoButton,Move,1301,679
12371,NoButton,Move,1301,679
12379,NoButton,Move,1301,679
12387,NoButton,Move,1301,679
12395,NoButton,Move,1301,679
12402,NoButton,Move,1301,679
12411,NoButton,Move,1301,679
12419,NoButton,Move,1301,679
12427,NoButton,Move,1301,679
12435,NoButton,Move,1301,679
12443,NoButton,Move,1301,679
12451,NoButton,Move,1301,679
12456,Left,Pressed,1301,679
12456,Left,Released,1301,679
13658,NoButton,Move,1282,678
13667,NoButton,Move,1282,678
13675,NoButton,Move,1282,678
13683,NoButton,Move,1282,678
13691,NoButton,Move,1282,678
13699,NoButton,Move,1282,678
13706,NoButton,Move,1282,678
13715,NoButton,Move,1282,678
13723,NoButton,Move,1282,678
13731,NoButton,Move,1282,678
13739,NoButton,Move,1282,678
13747,NoButton,Move,1282,678
13755,NoButton,Move,1282,678
13763,NoButton,Move,1282,678
13771,NoButton,Move,1282,678
13779,NoButton,Move,1283,678
13787,NoButton,Move,1284,679
13795,NoButton,Move,1286,679
13803,NoButton,Move,1287,680
13811,NoButton,Move,1289,682
13819,NoButton,Move,1292,683
13827,NoButton,Move,1293,685
13835,NoButton,Move,1295,685
13843,NoButton,Move,1296,686
13850,NoButton,Move,1296,686
13859,NoButton,Move,1298,688
13867,NoButton,Move,1298,688
13875,NoButton,Move,1298,689
13882,NoButton,Move,1299,689
13891,NoButton,Move,1299,689
13899,NoButton,Move,1301,691
13907,NoButton,Move,1302,692
13915,NoButton,Move,1302,692
13922,NoButton,Move,1302,694
13931,NoButton,Move,1304,694
13939,NoButton,Move,1304,694
13947,NoButton,Move,1304,694
13955,NoButton,Move,1304,694
13963,NoButton,Move,1304,694
13971,NoButton,Move,1304,694
13979,NoButton,Move,1304,694
13987,NoButton,Move,1304,694
13995,NoButton,Move,1304,694
14003,NoButton,Move,1304,694
14010,NoButton,Move,1304,694
14018,NoButton,Move,1304,694
14027,NoButton,Move,1304,694
14035,NoButton,Move,1304,694
14043,NoButton,Move,1304,694
14051,NoButton,Move,1304,694
14059,NoButton,Move,1304,694
14067,NoButton,Move,1304,694
14075,NoButton,Move,1304,694
14083,NoButton,Move,1304,694
14091,NoButton,Move,1304,695
14099,NoButton,Move,1305,695
14107,NoButton,Move,1305,695
14115,NoButton,Move,1305,695
14123,NoButton,Move,1305,695
14131,NoButton,Move,1305,695
14139,NoButton,Move,1305,695
14147,NoButton,Move,1305,695
14151,Left,Pressed,1305,695
14151,Left,Released,1305,695
14650,NoButton,Move,1305,695
14659,NoButton,Move,1305,695
14667,NoButton,Move,1305,695
14675,NoButton,Move,1305,695
14683,NoButton,Move,1305,695
14691,NoButton,Move,1305,695
14699,NoButton,Move,1305,695
14707,NoButton,Move,1305,695
14715,NoButton,Move,1305,695
14723,NoButton,Move,1305,695
14731,NoButton,Move,1305,695
14738,NoButton,Move,1305,697
14747,NoButton,Move,1305,698
14755,NoButton,Move,1305,698
14763,NoButton,Move,1305,698
14771,NoButton,Move,1305,701
14779,NoButton,Move,1305,703
14787,NoButton,Move,1305,704
14795,NoButton,Move,1305,709
14803,NoButton,Move,1305,713
14811,NoButton,Move,1304,716
14818,NoButton,Move,1303,721
14827,NoButton,Move,1301,725
14835,NoButton,Move,1301,728
14843,NoButton,Move,1300,731
14850,NoButton,Move,1300,734
14859,NoButton,Move,1298,736
14866,NoButton,Move,1298,737
14875,NoButton,Move,1298,737
14883,NoButton,Move,1298,737
14891,NoButton,Move,1298,739
14898,NoButton,Move,1298,739
14907,NoButton,Move,1298,739
14915,NoButton,Move,1298,739
14922,NoButton,Move,1298,739
14931,NoButton,Move,1298,739
14939,NoButton,Move,1298,739
14946,NoButton,Move,1298,739
14954,NoButton,Move,1298,739
14963,NoButton,Move,1298,739
14971,NoButton,Move,1298,739
14979,NoButton,Move,1298,739
14987,NoButton,Move,1298,739
14994,NoButton,Move,1298,739
15003,NoButton,Move,1298,739
15011,NoButton,Move,1298,739
15019,NoButton,Move,1298,739
